Name,Platform,Year_of_Release,Genre,NA_players,EU_players,JP_players,Other_players,Critic_Score,User_Score,Rating
Forza Horizon 3,XOne,2016-01-01,Racing,0.42,0.58,0,0.08,91,7.4,E
Overwatch,XOne,2016-01-01,Shooter,0.63,0.33,0,0.1,91,5.6,T
The Legend of Zelda: Twilight Princess HD,WiiU,2016-01-01,Action,0.56,0.3,0.08,0.09,86,8.4,T
NBA 2K17,XOne,2016-01-01,Sports,0.86,0.06,0,0.11,90,6.2,E
Pokken Tournament,WiiU,2016-01-01,Fighting,0.5,0.26,0.17,0.08,76,8,E10+
Rise of the Tomb Raider,PS4,2016-01-01,Adventure,0.23,0.53,0.04,0.14,nan,,
EA Sports UFC 2,PS4,2016-01-01,Sports,0.29,0.49,0,0.15,79,6.2,T
Kirby: Planet Robobot,3DS,2016-01-01,Action,0.28,0.14,0.47,0.04,81,8.7,E
Street Fighter V,PS4,2016-01-01,Fighting,0.4,0.28,0.08,0.14,77,3.4,T
MLB 16: The Show,PS4,2016-01-01,Action,0.72,0,0,0.17,nan,,
Far Cry: Primal,XOne,2016-01-01,Action,0.47,0.33,0,0.08,77,6.4,M
Doom (2016),XOne,2016-01-01,Shooter,0.44,0.25,0,0.07,nan,,
Titanfall 2,PS4,2016-01-01,Shooter,0.34,0.25,0.05,0.12,89,8.4,M
The Elder Scrolls V: Skyrim,XOne,2016-01-01,Role-Playing,0.41,0.27,0,0.07,nan,,
FIFA 17,PS3,2016-01-01,Sports,0.05,0.55,0.03,0.1,nan,3.3,E
LEGO Marvel's Avengers,PS4,2016-01-01,Action,0.26,0.35,0,0.12,71,7,E10+
Dragon Ball: Xenoverse 2,PS4,2016-01-01,Action,0.24,0.27,0.09,0.1,73,7.8,T
Lego Star Wars: The Force Awakens,PS4,2016-01-01,Action,0.16,0.43,0.01,0.11,78,7.5,E10+
Minecraft,WiiU,2016-01-01,Misc,0.28,0.17,0.18,0.04,nan,,
Farming Simulator 17,PC,2016-01-01,Simulation,0.03,0.58,0,0.04,64,8,E
Dishonored 2,PS4,2016-01-01,Action,0.22,0.32,0,0.1,88,7.7,M
Dragon Quest Monsters Joker 3,3DS,2016-01-01,Role-Playing,0,0,0.63,0,nan,,
Mafia III,XOne,2016-01-01,Action,0.28,0.29,0,0.05,67,4.6,M
WWE 2K17,PS4,2016-01-01,Sports,0.17,0.34,0,0.09,69,6.9,T
Titanfall 2,XOne,2016-01-01,Shooter,0.37,0.15,0,0.05,87,8,M
Yokai Sangokushi,3DS,2016-01-01,Action,0,0,0.56,0,nan,,
Quantum Break,XOne,2016-01-01,Action,0.3,0.2,0.01,0.05,77,6.8,M
Overwatch,PC,2016-01-01,Shooter,0.25,0.24,0,0.04,91,6.8,T
Mario & Sonic at the Rio 2016 Olympic Games,3DS,2016-01-01,Action,0.05,0.21,0.25,0.02,nan,,
Plants vs. Zombies: Garden Warfare 2,PS4,2016-01-01,Shooter,0.2,0.21,0,0.08,81,7.7,E10+
Plants vs. Zombies: Garden Warfare 2,XOne,2016-01-01,Shooter,0.29,0.15,0,0.04,80,8.1,E10+
Pro Evolution Soccer 2017,PS4,2016-01-01,Sports,0.02,0.27,0.11,0.05,85,7.6,E
Hyrule Warriors,3DS,2016-01-01,Action,0.17,0.13,0.11,0.03,nan,,
Paper Mario: Color Splash,WiiU,2016-01-01,Role-Playing,0.2,0.14,0.05,0.03,75,6.8,E
EA Sports UFC 2,XOne,2016-01-01,Sports,0.24,0.14,0,0.04,76,6,T
Farming Simulator 17,PS4,2016-01-01,Simulation,0.05,0.31,0,0.06,69,8.7,E
Tom Clancy's The Division,PC,2016-01-01,Shooter,0.22,0.15,0,0.04,79,5.8,M
Dragon Quest Builders: Revive Alefgard,PS4,2016-01-01,Role-Playing,0.04,0.11,0.22,0.03,nan,,
Life is Strange,PS4,2016-01-01,Adventure,0.15,0.15,0.03,0.06,85,8.6,M
Dark Souls III,XOne,2016-01-01,Role-Playing,0.26,0.09,0,0.04,87,8.6,
Until Dawn: Rush of Blood,PS4,2016-01-01,Adventure,0.18,0.15,0,0.07,72,8,M
F1 2016 (Codemasters),PS4,2016-01-01,Racing,0.03,0.29,0.01,0.05,nan,,
Battlefield 1,PC,2016-01-01,Shooter,0.11,0.24,0,0.03,88,7.6,M
Deus Ex: Mankind Divided,PS4,2016-01-01,Role-Playing,0.11,0.21,0,0.06,84,7.6,M
FIFA 17,X360,2016-01-01,Sports,0.07,0.28,0,0.03,nan,1.7,E
Resident Evil Zero,PS4,2016-01-01,Action,0.1,0.17,0.05,0.05,nan,,
Persona 5,PS4,2016-01-01,Role-Playing,0,0,0.37,0,nan,,
BioShock The Collection,PS4,2016-01-01,Shooter,0.1,0.19,0.02,0.06,84,8.5,M
Rocket League,PS4,2016-01-01,Sports,0.03,0.28,0,0.05,85,8.7,E
DiRT Rally,PS4,2016-01-01,Racing,0.04,0.27,0,0.05,85,8.1,E
Star Fox: Zero,WiiU,2016-01-01,Shooter,0.17,0.1,0.07,0.03,69,7.4,E10+
Watch Dogs 2,XOne,2016-01-01,Action,0.17,0.16,0,0.03,83,7.7,M
Homefront: The Revolution,PS4,2016-01-01,Shooter,0.06,0.21,0.03,0.05,48,3.8,M
One Piece: Burning Blood,PS4,2016-01-01,Fighting,0.11,0.13,0.07,0.05,66,7.8,T
LEGO Marvel's Avengers,XOne,2016-01-01,Action,0.19,0.12,0,0.03,71,5.1,E10+
Mirror's Edge Catalyst,PS4,2016-01-01,Platform,0.11,0.16,0.02,0.05,69,4.7,T
TrackMania Turbo,PS4,2016-01-01,Action,0.03,0.26,0,0.05,81,7.9,E
Mario & Sonic at the Rio 2016 Olympic Games,WiiU,2016-01-01,Action,0.07,0.14,0.11,0.02,nan,,
World of Final Fantasy,PS4,2016-01-01,Role-Playing,0.08,0.14,0.08,0.04,77,8.3,E10+
NHL 17,PS4,2016-01-01,Sports,0.19,0.08,0,0.06,78,5.8,E10+
Star Ocean 5: Integrity and Faithlessness,PS4,2016-01-01,Role-Playing,0.07,0.09,0.15,0.03,nan,,
World of Warcraft: Legion,PC,2016-01-01,Role-Playing,0.13,0.16,0,0.03,88,7.5,T
LEGO Marvel's Avengers,X360,2016-01-01,Action,0.18,0.11,0,0.03,nan,5.7,E10+
Mario Party: Star Rush,3DS,2016-01-01,Misc,0.08,0.13,0.08,0.02,68,6.8,E
Naruto Shippuden: Ultimate Ninja Storm 4,XOne,2016-01-01,Fighting,0.21,0.07,0,0.03,81,8.5,T
Batman: Arkham VR,PS4,2016-01-01,Action,0.25,0,0,0.06,75,7.3,M
Dragon Quest Builders: Revive Alefgard,PSV,2016-01-01,Role-Playing,0,0,0.3,0,nan,,
Lego Star Wars: The Force Awakens,XOne,2016-01-01,Action,0.14,0.13,0,0.02,76,7,E10+
UEFA Euro 2016,PS4,2016-01-01,Sports,0,0.22,0.04,0.04,72,6.6,E
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PS4,2016-01-01,Action,0,0,0.28,0,nan,,
Monster Hunter Stories,3DS,2016-01-01,Action,0,0,0.28,0,nan,,
Attack on Titan (KOEI),PS4,2016-01-01,Action,0.04,0.11,0.11,0.03,nan,,
Ace Attorney 6,3DS,2016-01-01,Adventure,0,0,0.27,0,nan,,
LEGO Marvel's Avengers,PS3,2016-01-01,Action,0.1,0.12,0,0.04,nan,5.5,E10+
Batman: Return to Arkham,PS4,2016-01-01,Action,0.07,0.16,0,0.04,73,8.5,T
WWE 2K17,XOne,2016-01-01,Sports,0.12,0.12,0,0.02,68,5.5,T
Battleborn,PS4,2016-01-01,Shooter,0.12,0.08,0.02,0.04,68,6.8,T
PlayStation VR Worlds,PS4,2016-01-01,Misc,0.06,0.14,0.02,0.04,59,7.1,M
Sid Meier's Civilization VI,PC,2016-01-01,Strategy,0.09,0.13,0,0.02,88,7.3,E10+
NHL 17,XOne,2016-01-01,Sports,0.2,0.01,0,0.03,77,4,E10+
Destiny: The Collection,PS4,2016-01-01,Shooter,0.05,0.15,0,0.04,nan,8.1,T
Rocket League,XOne,2016-01-01,Sports,0.05,0.17,0,0.02,87,8.3,E
LEGO Marvel's Avengers,WiiU,2016-01-01,Action,0.12,0.1,0,0.02,69,6.8,E10+
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PSV,2016-01-01,Action,0,0,0.23,0,nan,,
XCOM 2,PC,2016-01-01,Strategy,0.09,0.12,0,0.02,88,7.1,T
Tales of Berseria,PS4,2016-01-01,Role-Playing,0,0,0.23,0,nan,,T
Puzzle & Dragons X: God Chapter / Dragon Chapter,3DS,2016-01-01,Action,0,0,0.22,0,nan,,
Dishonored 2,XOne,2016-01-01,Action,0.12,0.08,0,0.02,88,6.8,M
Doom (2016),PC,2016-01-01,Shooter,0.07,0.13,0,0.02,nan,,
Dragon Ball: Fusions,3DS,2016-01-01,Role-Playing,0.02,0,0.19,0,68,7.6,T
World of Final Fantasy,PSV,2016-01-01,Role-Playing,0.04,0.06,0.08,0.03,77,8.6,E10+
Mega Man Legacy Collection,3DS,2016-01-01,Platform,0.14,0,0.05,0.02,77,7.1,E
Assassin's Creed The Ezio Collection,PS4,2016-01-01,Action,0.04,0.13,0,0.03,72,7.4,M
Valkyria Chronicles,PS4,2016-01-01,Role-Playing,0.07,0.05,0.05,0.03,nan,,
Story of Seasons: Good Friends of the Three Villages,3DS,2016-01-01,Simulation,0,0,0.2,0,nan,,
The Heavy Rain and Beyond: Two Souls Collection,PS4,2016-01-01,Action,0,0.17,0,0.03,nan,,
Dragon Ball: Xenoverse 2,XOne,2016-01-01,Action,0.11,0.07,0,0.02,73,7.3,T
Odin Sphere: Leifthrasir,PS4,2016-01-01,Role-Playing,0.07,0.04,0.07,0.02,87,8.2,T
MLB 16: The Show,PS3,2016-01-01,Action,0.16,0,0,0.04,nan,,
Shin Megami Tensei IV: Final,3DS,2016-01-01,Role-Playing,0.05,0,0.14,0.01,nan,,
Kan Colle Kai,PSV,2016-01-01,Action,0,0,0.19,0,nan,,
LEGO Marvel's Avengers,3DS,2016-01-01,Action,0.07,0.09,0.01,0.01,60,7.1,E10+
Mafia III,PC,2016-01-01,Action,0.08,0.1,0,0.02,63,3.2,M
Sword Art Online: Hollow Realization,PS4,2016-01-01,Role-Playing,0.06,0.02,0.1,0.02,69,7.7,T
Just Dance 2017,Wii,2016-01-01,Misc,0.06,0.11,0,0.01,nan,tbd,E10+
Jikkyou Powerful Pro Baseball 2016,PSV,2016-01-01,Sports,0,0,0.18,0,nan,,
Skylanders Imaginators,WiiU,2016-01-01,Platform,0.09,0.08,0,0.02,76,tbd,E10+
Madden NFL 17,X360,2016-01-01,Sports,0.14,0.02,0,0.02,nan,0.7,E
Jikkyou Powerful Pro Baseball 2016,PS4,2016-01-01,Sports,0,0,0.17,0,nan,,
Deus Ex: Mankind Divided,XOne,2016-01-01,Role-Playing,0.09,0.06,0,0.01,83,7.2,M
Far Cry: Primal,PC,2016-01-01,Action,0.04,0.11,0,0.01,74,4.8,M
Mirror's Edge Catalyst,XOne,2016-01-01,Platform,0.09,0.06,0,0.01,72,4.4,T
Lego Star Wars: The Force Awakens,PS3,2016-01-01,Action,0.04,0.1,0,0.03,nan,tbd,E10+
Yakuza Kiwami,PS4,2016-01-01,Adventure,0,0,0.16,0,nan,,
BioShock The Collection,XOne,2016-01-01,Shooter,0.08,0.06,0,0.01,84,8.3,M
Battleborn,XOne,2016-01-01,Shooter,0.1,0.04,0,0.01,71,7.2,T
The King of Fighters XIV,PS4,2016-01-01,Fighting,0.07,0.02,0.04,0.02,79,8.7,T
Sword Art Online: Hollow Realization,PSV,2016-01-01,Role-Playing,0,0.04,0.1,0.01,60,7,T
LEGO Harry Potter Collection,PS4,2016-01-01,Action,0.01,0.11,0,0.02,73,8.1,E10+
Lego Star Wars: The Force Awakens,WiiU,2016-01-01,Action,0.06,0.07,0.01,0.01,74,8,E10+
ReCore,XOne,2016-01-01,Action,0.08,0.05,0,0.01,63,6.6,T
Skylanders Imaginators,PS4,2016-01-01,Platform,0.04,0.08,0,0.02,80,5.5,E10+
XCOM 2,PS4,2016-01-01,Strategy,0.04,0.08,0,0.02,88,8,T
WWE 2K17,PS3,2016-01-01,Sports,0.05,0.07,0,0.02,nan,4.1,T
Odin Sphere: Leifthrasir,PSV,2016-01-01,Role-Playing,0.02,0.02,0.09,0.01,93,7.9,T
Homefront: The Revolution,XOne,2016-01-01,Shooter,0.06,0.07,0,0.01,49,4.1,M
7 Days to Die,PS4,2016-01-01,Action,0.04,0.08,0,0.02,45,5.9,M
Dead Island Definitive Collection,PS4,2016-01-01,Action,0.03,0.07,0.01,0.02,63,6.4,M
Call of Duty: Infinite Warfare,PC,2016-01-01,Shooter,0.04,0.08,0,0.01,73,3,M
Attack on Titan (KOEI),PSV,2016-01-01,Action,0,0,0.13,0,nan,,
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PS3,2016-01-01,Action,0,0,0.13,0,nan,,
Life is Strange,XOne,2016-01-01,Adventure,0.09,0.03,0,0.01,85,8.7,M
Total War: WARHAMMER,PC,2016-01-01,Strategy,0,0.12,0,0.01,86,7.3,T
Pro Evolution Soccer 2017,PS3,2016-01-01,Sports,0.01,0.05,0.06,0.01,nan,7.2,E
NBA 2K17,PS3,2016-01-01,Sports,0.06,0.04,0,0.02,nan,2,E
LEGO Marvel's Avengers,PSV,2016-01-01,Action,0.02,0.07,0,0.03,nan,6.6,E10+
DiRT Rally,XOne,2016-01-01,Racing,0.04,0.08,0,0.01,86,8,E
F1 2016 (Codemasters),XOne,2016-01-01,Racing,0.03,0.08,0,0.01,nan,,
Etrian Odyssey V,3DS,2016-01-01,Role-Playing,0,0,0.12,0,nan,,
Lego Star Wars: The Force Awakens,3DS,2016-01-01,Action,0.04,0.07,0.01,0.01,nan,7.8,E10+
Gundam Breaker 3,PSV,2016-01-01,Action,0,0,0.12,0,nan,,
Robinson: The Journey,PS4,2016-01-01,Action,0.06,0.03,0,0.02,65,6.9,
Rise of the Tomb Raider,PC,2016-01-01,Adventure,0,0.11,0,0.01,86,7.9,M
Hatsune Miku: Project Diva X,PSV,2016-01-01,Misc,0.01,0,0.1,0,83,8,T
Destiny: The Collection,XOne,2016-01-01,Shooter,0.05,0.06,0,0.01,nan,tbd,T
Lego Star Wars: The Force Awakens,X360,2016-01-01,Action,0.05,0.06,0,0.01,nan,6.9,E10+
Farming Simulator 17,XOne,2016-01-01,Simulation,0.04,0.07,0,0.01,65,tbd,E
Dishonored 2,PC,2016-01-01,Action,0.04,0.07,0,0.01,86,6,M
Dragon Quest Builders: Revive Alefgard,PS3,2016-01-01,Role-Playing,0,0,0.12,0,nan,,
Yakuza Kiwami,PS3,2016-01-01,Adventure,0,0,0.12,0,nan,,
NBA 2K17,X360,2016-01-01,Sports,0.09,0.02,0,0.01,nan,3.4,E
Tales of Berseria,PS3,2016-01-01,Role-Playing,0,0,0.12,0,nan,,
Jikkyou Powerful Pro Baseball 2016,PS3,2016-01-01,Sports,0,0,0.12,0,nan,,
FIFA 17,PC,2016-01-01,Sports,0,0.11,0,0.01,84,4.2,E
Madden NFL 17,PS3,2016-01-01,Sports,0.07,0.02,0,0.02,nan,0.2,E
Disney Art Academy,3DS,2016-01-01,Action,0.02,0.01,0.08,0,72,6.8,E
Persona 5,PS3,2016-01-01,Role-Playing,0,0,0.11,0,nan,,
Toukiden 2,PSV,2016-01-01,Action,0,0,0.11,0,nan,,
Digimon Story: Cyber Sleuth,PS4,2016-01-01,Role-Playing,0,0.1,0,0.02,75,8.5,T
Batman: Return to Arkham,XOne,2016-01-01,Action,0.05,0.05,0,0.01,77,8.2,T
RIGS: Mechanized Combat League,PS4,2016-01-01,Action,0.03,0.05,0.01,0.02,79,7.9,T
WWE 2K17,X360,2016-01-01,Sports,0.05,0.04,0,0.01,nan,tbd,T
Skylanders Imaginators,PS3,2016-01-01,Platform,0.02,0.07,0,0.02,nan,tbd,E10+
Fate/Extella: The Umbral Star,PS4,2016-01-01,Action,0,0,0.11,0,nan,,T
Taiko no Tatsujin: Don Don! Mystery Adventure,3DS,2016-01-01,Action,0,0,0.1,0,nan,,
The Sims 4: City Living,PC,2016-01-01,Simulation,0.02,0.08,0,0.01,77,5.7,T
EVE: Valkyrie,PS4,2016-01-01,Shooter,0.03,0.05,0,0.02,73,6.3,T
The Idolmaster: Platinum Stars,PS4,2016-01-01,Simulation,0,0,0.1,0,nan,,
Digimon World: Next Order,PSV,2016-01-01,Action,0,0,0.1,0,nan,,
Gundam Breaker 3,PS4,2016-01-01,Action,0,0,0.1,0,nan,,
Lego Star Wars: The Force Awakens,PSV,2016-01-01,Action,0.01,0.06,0.01,0.02,nan,7.1,E10+
Skylanders Imaginators,XOne,2016-01-01,Platform,0.05,0.04,0,0.01,78,6,E10+
One Piece: Burning Blood,PSV,2016-01-01,Fighting,0,0.02,0.07,0,62,7.8,T
Just Dance 2017,WiiU,2016-01-01,Misc,0.03,0.06,0,0.01,nan,tbd,E10+
Super Robot Wars OG: The Moon Dwellers,PS4,2016-01-01,Misc,0,0,0.09,0,nan,,
Ys VIII: Lacrimosa of Dana,PSV,2016-01-01,Role-Playing,0,0,0.09,0,nan,,
Teenage Mutant Ninja Turtles: Mutants in Manhattan,PS4,2016-01-01,Action,0.05,0.02,0,0.02,44,5.5,T
Football Manager 2017,PC,2016-01-01,Simulation,0,0.09,0,0.01,81,4.3,E
MXGP 2,PS4,2016-01-01,Racing,0.02,0.05,0,0.01,nan,,
Sonic Boom: Fire & Ice,3DS,2016-01-01,Platform,0.05,0.03,0,0.01,nan,,
DriveClub VR,PS4,2016-01-01,Racing,0.03,0.05,0,0.01,67,7.4,E
Skylanders Imaginators,X360,2016-01-01,Platform,0.04,0.05,0,0.01,nan,tbd,E10+
Fate/Extella: The Umbral Star,PSV,2016-01-01,Action,0,0,0.09,0,nan,,T
Terraria,3DS,2016-01-01,Action,0,0.04,0.05,0,71,7.1,T
Batman: A Telltale Game Series,PS4,2016-01-01,Adventure,0.03,0.05,0,0.01,nan,,
Assassin's Creed Chronicles,PS4,2016-01-01,Action,0.01,0.05,0.01,0.01,nan,6.1,T
SD Gundam G Generation Genesis,PSV,2016-01-01,Strategy,0,0,0.09,0,nan,,
Toukiden 2,PS4,2016-01-01,Action,0,0,0.08,0,nan,,
SD Gundam G Generation Genesis,PS4,2016-01-01,Strategy,0,0,0.08,0,nan,,
BlazBlue Central Fiction,PS4,2016-01-01,Fighting,0.04,0,0.03,0.01,85,7.6,T
Battleborn,PC,2016-01-01,Shooter,0.04,0.04,0,0.01,69,6.9,T
Guilty Gear Xrd -Revelator-,PS4,2016-01-01,Fighting,0.03,0,0.05,0.01,nan,,
Mega Man Legacy Collection,PS4,2016-01-01,Platform,0.07,0,0,0.02,77,6.1,E
Titanfall 2,PC,2016-01-01,Shooter,0.03,0.04,0,0.01,85,8,M
Pro Cycling Manager 2016,PS4,2016-01-01,Sports,0,0.07,0,0.01,nan,,
UEFA Euro 2016,PS3,2016-01-01,Sports,0,0.04,0.03,0.01,nan,,
Resident Evil 6,PS4,2016-01-01,Shooter,0.06,0,0,0.01,60,6.7,M
Song of the Deep,PS4,2016-01-01,Action,0.06,0,0,0.01,69,7.3,E
Resident Evil Zero,XOne,2016-01-01,Action,0.05,0.02,0,0.01,nan,,
Assassin's Creed The Ezio Collection,XOne,2016-01-01,Action,0.03,0.04,0,0.01,74,7.6,M
Valentino Rossi: The Game,PS4,2016-01-01,Racing,0.01,0.05,0,0.01,75,8,E
Sumikko Gurashi: Mura o Tsukurundesu,3DS,2016-01-01,Misc,0,0,0.08,0,nan,,
Zero Escape: Zero Time Dilemma,3DS,2016-01-01,Adventure,0.05,0,0.02,0.01,81,8.5,M
Dark Souls III,PC,2016-01-01,Role-Playing,0,0.07,0,0,89,8.6,M
Guilty Gear Xrd -Revelator-,PS3,2016-01-01,Fighting,0.02,0.02,0.03,0.01,nan,,
Eagle Flight,PS4,2016-01-01,Adventure,0.01,0.05,0,0.01,72,7.8,E10+
Assassin's Creed Chronicles,PSV,2016-01-01,Action,0.01,0.04,0.01,0.01,70,8,T
Utawarerumono: Futari no Hakuoro,PSV,2016-01-01,Misc,0,0,0.06,0,nan,,
Mirror's Edge Catalyst,PC,2016-01-01,Platform,0.01,0.05,0,0,74,4.4,T
Super Robot Wars OG: The Moon Dwellers,PS3,2016-01-01,Misc,0,0,0.06,0,nan,,
Odin Sphere: Leifthrasir,PS3,2016-01-01,Role-Playing,0.02,0.01,0.03,0.01,nan,7,T
Assetto Corsa,PS4,2016-01-01,Racing,0,0.05,0,0.01,73,6.2,E
One Piece: Burning Blood,XOne,2016-01-01,Fighting,0.03,0.02,0,0.01,60,5.8,T
TrackMania Turbo,XOne,2016-01-01,Action,0.02,0.04,0,0,76,7.7,E
Zero Escape: Zero Time Dilemma,PSV,2016-01-01,Adventure,0.03,0,0.02,0.01,83,8.3,M
Ansatsu Kyoushitsu: Assassin Ikusei Keikaku!!,3DS,2016-01-01,Action,0,0,0.06,0,nan,,
The Technomancer,PS4,2016-01-01,Role-Playing,0.02,0.04,0,0.01,60,6.7,M
Attack on Titan (KOEI),PS3,2016-01-01,Action,0,0,0.06,0,nan,,
Attack on Titan (KOEI),XOne,2016-01-01,Action,0.02,0.03,0,0,nan,,
Summon Night 6: Lost Borders,PSV,2016-01-01,Action,0,0,0.06,0,nan,,
Project Setsuna,PS4,2016-01-01,Role-Playing,0,0,0.06,0,nan,,
Song of the Deep,XOne,2016-01-01,Action,0.05,0,0,0.01,66,6.9,E
Culdcept Revolt,3DS,2016-01-01,Strategy,0,0,0.06,0,nan,,
Corpse Party: Back to School Edition,3DS,2016-01-01,Adventure,0.05,0,0,0.01,nan,,
MXGP 2,XOne,2016-01-01,Racing,0.03,0.02,0,0.01,nan,,
BlazBlue Central Fiction,PS3,2016-01-01,Fighting,0.02,0.02,0.02,0.01,nan,tbd,T
Kamen Rider: Battride War Genesis,PS4,2016-01-01,Action,0,0,0.06,0,nan,,
Street Fighter V,PC,2016-01-01,Fighting,0,0.05,0,0,74,2.9,T
ZombiU,PS4,2016-01-01,Action,0,0.04,0.01,0.01,nan,,
Caligula,PSV,2016-01-01,Role-Playing,0,0,0.06,0,nan,,
Rocket League,PC,2016-01-01,Sports,0.01,0.04,0,0,86,8.2,E
Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,PS4,2016-01-01,Misc,0.01,0,0.05,0,nan,,
7 Days to Die,XOne,2016-01-01,Action,0.03,0.02,0,0,35,5.2,M
Hearts of Iron IV,PC,2016-01-01,Strategy,0,0.05,0,0,83,6.9,
Ghostbusters (2016),PS4,2016-01-01,Action,0.04,0,0,0.01,nan,,
Uta no Prince-Sama: Music 3,PSV,2016-01-01,Action,0,0,0.05,0,nan,,
Batman: A Telltale Game Series,PS3,2016-01-01,Adventure,0.01,0.04,0,0.01,nan,,
Project Setsuna,PSV,2016-01-01,Role-Playing,0,0,0.05,0,nan,,
Mighty No. 9,PS4,2016-01-01,Platform,0.04,0,0,0.01,52,3.5,E10+
Dead or Alive Xtreme 3: Fortune,PS4,2016-01-01,Sports,0,0,0.05,0,43,7.8,
Dead Island Definitive Collection,XOne,2016-01-01,Action,0.02,0.03,0,0,67,4.9,M
Teenage Mutant Ninja Turtles: Mutants in Manhattan,PS3,2016-01-01,Action,0.01,0.03,0,0.01,nan,3.4,T
Killing Floor 2 ,PS4,2016-01-01,Shooter,0.03,0.01,0,0.01,76,8,M
Utawarerumono: Futari no Hakuoro,PS4,2016-01-01,Misc,0,0,0.05,0,nan,,
R.B.I. Baseball 2016,XOne,2016-01-01,Sports,0.05,0,0,0.01,nan,,
Kamen Rider: Battride War Genesis,PSV,2016-01-01,Action,0,0,0.05,0,nan,,
Metroid Prime: Federation Force,3DS,2016-01-01,Action,0.02,0.01,0.01,0,64,5.1,T
Ghostbusters (2016),XOne,2016-01-01,Action,0.04,0,0,0.01,nan,,
Hatsune Miku: Project Diva X,PS4,2016-01-01,Misc,0.02,0,0.02,0,78,7.4,T
Resident Evil 4 HD,PS4,2016-01-01,Shooter,0.04,0,0,0.01,nan,,
Plants vs. Zombies: Garden Warfare 2,PC,2016-01-01,Shooter,0,0.04,0,0,82,7.5,E10+
NASCAR Heat Evolution,PS4,2016-01-01,Racing,0.04,0,0,0.01,66,3.8,E
Pro Evolution Soccer 2017,XOne,2016-01-01,Sports,0.01,0.03,0,0,87,6.1,E
XCOM 2,XOne,2016-01-01,Strategy,0.02,0.02,0,0,87,8.1,T
12-Sai. Koisuru Diary,3DS,2016-01-01,Adventure,0,0,0.05,0,nan,,
Just Dance 2017,PS3,2016-01-01,Misc,0.01,0.03,0,0.01,nan,tbd,E10+
Ride 2,PS4,2016-01-01,Racing,0,0.04,0,0.01,71,8,E
